Penyakit,Obat
Apple Black Root,Fungicide
Apple Rust,Fungicide
Apple Scab,Fungicide
Cassava Bacterial Blight,Copper fungicide
Cassava Brown Streak Disease,Insecticides
Cassava Green Mottle,Insecticides
Cassava Mosaic Disease,Insecticides
Cherry Powdery Mildew,Fungicide
Chili Leaf Curl,"Insecticides, neem oil"
Chili Leaf Spot,"Fungicide, Neem oil"
Chili Whitefly,"Insecticidal soaps, Neem oil"
Chili Yellowish,Insecticides
Coffee Cercospora Leaf Spot,Copper ungicides
Coffee Red Spider Mite,Acaricides (Miticides)
Coffee Rust,Fungicide
Corn Common Rust,Fungicide
Corn Gray Leaf,Fungicide
Corn Northern Leaf Blight,Fungicide
Cucumber Diseased,Fungicide
Gauva Diseased,Fungicide
Grape Black Measles,Fungicide
Grape Black Rot,Fungicide
Grape Leaf Blight (isariopsis leaf spot),Fungicide
Jamun Diseased,Fungicide
Lemon Diseased,Fungicide
Mango Diseased,Fungicide
Peach Bacterial Spot,Copper Fungicide
Pepper Bell Bacterial Spot,Copper Fungicide
Pomegranate Diseased,Fungicide
Potato Early Blight,Fungicide
Potato Late Blight,Fungicide
Rice Brown Spot,Fungicide
Rice Hispa,Insecticides
Rice Leaf Blast,Fungicide
Rice Neck Blast,Fungicide
Soybean Bacterial Bligh,Copper Fungicide
Soybean Caterpillar,Insecticides
Soybean Diabrotica Speciosa,Insecticides
Soybean Downy Mildew,Fungicide
Soybean Mosaic Virus,Insecticides
Soybean Powdery Mildew,Fungicide
Soybean Rust,Fungicide
Soybean Southern Blight,Fungicide
Strawberry Leaf Scorch,Fungicide
Sugarcane Bacterial Blight,Copper Fungicide
Sugarcane Red Rot,Fungicide
Sugarcane Red Stripe,Fungicide
Sugarcane Rust,Fungicide
Tea Algal Leaf,Fungicide
Tea Anthracnose,Fungicide
Tea Bird Eye Spot,Fungicide
Tea Brown Blight,Fungicide
Tea Red Leaf Spot,Fungicide
Tomato Bacterial Spot,Copper Fungicide
Tomato Early Blight,Fungicide
Tomato Late Blight,Fungicide
Tomato Leaf Mold,"Copper Fungicides, Methyl Bromide"
Tomato Mosaic Virus,Insecticides
Tomato Septoria Leaf Spot,Fungicide
Tomato Spider Mites,"Acaricides (Amitraz, Abamectin,,Hexythiazox,Spiromesifen,Bifenazate)"
Tomato Target Spot,Fungicide
Tomato Yellow Leaf Curl Virus,Insecticides
Wheat Brown Rust,Fungicide
Wheat Septoria,Fungicide
Wheat Yellow Rust,Fungicide